Date,Time,Name,Buy/Sell,Order,Exchange,Segment,Quantity/Lot,Trade Price,Trade Value,Status
2025-04-16,09:37:10,Britannia Industries,SELL,DELIVERY,NSE,Equity,3,5398.20,16194.60,Traded
2024-07-01,09:20:54,Cipla,SELL,DELIVERY,NSE,Equity,6,1482.70,8896.20,Traded
2024-06-21,15:20:08,Britannia Industries,SELL,DELIVERY,NSE,Equity,4,5323.45,21293.80,Traded
2024-06-21,15:19:33,Cipla,SELL,DELIVERY,NSE,Equity,3,1540.75,4622.25,Traded
2024-06-13,09:45:46,Cipla,SELL,DELIVERY,NSE,Equity,3,1520.85,4562.55,Traded
2024-05-16,12:38:43,Sobha,BUY,DELIVERY,NSE,Equity,1,1773.00,1773.00,Traded
2024-05-09,09:53:53,Indraprastha Gas,SELL,DELIVERY,NSE,Equity,2,447.10,894.20,Traded
2024-05-09,09:53:03,Biocon,SELL,DELIVERY,NSE,Equity,3,308.95,926.85,Traded
2024-02-26,09:34:17,Britannia Industries,BUY,DELIVERY,NSE,Equity,7,4927.50,34492.50,Traded
2024-02-26,09:32:42,JSW Steel,SELL,DELIVERY,NSE,Equity,21,816.10,17138.10,Traded
2024-02-26,09:32:32,Axis Bank,SELL,DELIVERY,NSE,Equity,15,1090.00,16350.00,Traded
2024-02-02,15:29:18,Cipla,BUY,DELIVERY,NSE,Equity,12,1394.00,16728.00,Traded
2024-02-02,15:28:19,JSW Steel,SELL,DELIVERY,NSE,Equity,10,824.10,8241.00,Traded
2024-02-02,15:27:37,Axis Bank,SELL,DELIVERY,NSE,Equity,7,1068.00,7476.00,Traded
2024-01-18,15:14:34,JSW Steel,BUY,DELIVERY,NSE,Equity,26,803.80,20898.80,Traded
2024-01-18,15:14:32,JSW Steel,BUY,DELIVERY,NSE,Equity,5,803.80,4019.00,Traded
2024-01-18,15:14:00,Axis Bank,BUY,DELIVERY,NSE,Equity,22,1096.20,24116.40,Traded
2024-01-01,14:43:57,CESC LTD,BUY,DELIVERY,NSE,Equity,5,137.50,687.50,Traded
2024-01-01,14:11:52,Oberoi Realty,BUY,DELIVERY,NSE,Equity,3,1454.65,4363.95,Traded
2024-01-01,12:23:55,Indraprastha Gas,BUY,DELIVERY,NSE,Equity,2,422.25,844.50,Traded
2024-01-01,12:23:30,Steel Authority of India,BUY,DELIVERY,NSE,Equity,6,125.20,751.20,Traded
2024-01-01,12:22:11,Petronet LNG,BUY,DELIVERY,NSE,Equity,3,225.60,676.80,Traded
2024-01-01,12:19:31,Biocon,BUY,DELIVERY,NSE,Equity,2,251.85,503.70,Traded
2024-01-01,12:19:09,Biocon,BUY,DELIVERY,NSE,Equity,1,251.90,251.90,Traded
2024-01-01,12:17:28,Bharat Forge,BUY,DELIVERY,NSE,Equity,2,1250.75,2501.50,Traded
2024-01-01,11:52:36,CESC LTD,BUY,DELIVERY,NSE,Equity,1,134.70,134.70,Traded
2024-01-01,11:49:52,CESC LTD,BUY,DELIVERY,NSE,Equity,9,134.85,1213.65,Traded
