date,time,segment,symbol,type,qty,trade_price,trade_val,order_id
27/03/2025,03:19 PM,NSE_CASH,PVRINOX,SELL,1.0,941.6,941.6,1200000081888243
21/03/2025,11:27 AM,NSE_FNO,IO PE NIFTY 24Apr2025 23000,BUY,75.0,164.6,12345.0,1500000072101363
21/03/2025,11:30 AM,NSE_FNO,IO PE NIFTY 24Apr2025 23500,SELL,75.0,322.25,24168.75,1100000073467152
21/03/2025,11:30 AM,NSE_FNO,IO PE NIFTY 29May2025 23500,BUY,75.0,405.0,30375.0,1100000073378514
21/03/2025,11:29 AM,NSE_FNO,IO PE NIFTY 29May2025 23000,SELL,75.0,251.0,18825.0,1500000072302435
19/03/2025,09:26 AM,NSE_FNO,IO PE NIFTY 29May2025 22500,SELL,75.0,273.0,20475.0,1200000010171387
19/03/2025,09:27 AM,NSE_FNO,IO PE NIFTY 24Apr2025 23000,SELL,75.0,346.6,25995.0,1500000010237634
19/03/2025,09:26 AM,NSE_FNO,IO PE NIFTY 29May2025 23000,BUY,75.0,434.0,32550.0,1500000009735446
19/03/2025,09:26 AM,NSE_FNO,IO PE NIFTY 24Apr2025 22500,BUY,75.0,184.8,13860.0,1200000010000668
18/03/2025,01:05 PM,NSE_FNO,IO PE NIFTY 29May2025 22000,SELL,75.0,180.4,13530.0,1600000109217962
18/03/2025,01:07 PM,NSE_FNO,IO PE NIFTY 24Apr2025 22500,SELL,75.0,201.85,15138.75,1200000105654596
18/03/2025,01:06 PM,NSE_FNO,IO PE NIFTY 29May2025 22500,BUY,75.0,293.8,22035.0,1200000105319888
18/03/2025,01:05 PM,NSE_FNO,IO PE NIFTY 24Apr2025 22000,BUY,75.0,100.65,7548.75,1600000109030419
12/03/2025,09:20 AM,NSE_FNO,IO PE NIFTY 27Mar2025 22500,BUY,75.0,217.45,16308.75,1200000003004180
12/03/2025,09:21 AM,NSE_FNO,IO PE NIFTY 24Apr2025 22000,SELL,75.0,183.0,13725.0,1600000003067525
12/03/2025,09:21 AM,NSE_FNO,IO PE NIFTY 29May2025 22000,BUY,75.0,266.25,19968.75,1600000002935371
12/03/2025,09:20 AM,NSE_FNO,IO PE NIFTY 24Apr2025 22500,SELL,75.0,331.55,24866.25,1200000003075681
06/03/2025,09:39 AM,NSE_FNO,IO PE NIFTY 24Apr2025 22000,SELL,75.0,238.5,17887.5,1600000022821359
06/03/2025,09:41 AM,NSE_FNO,IO PE NIFTY 27Mar2025 22500,SELL,75.0,318.2,23865.0,1200000022968806
06/03/2025,09:40 AM,NSE_FNO,IO PE NIFTY 24Apr2025 22500,BUY,75.0,411.0,30825.0,1200000022328059
06/03/2025,09:39 AM,NSE_FNO,IO PE NIFTY 27Mar2025 22000,BUY,75.0,135.75,10181.25,1600000022738549
05/03/2025,12:55 PM,NSE_FNO,IO PE NIFTY 24Apr2025 21500,SELL,75.0,119.85,8988.75,1300000113936743
05/03/2025,12:57 PM,NSE_FNO,IO PE NIFTY 27Mar2025 22000,SELL,75.0,122.5,9187.5,1600000116335483
05/03/2025,12:57 PM,NSE_FNO,IO PE NIFTY 24Apr2025 22000,BUY,75.0,219.65,16473.75,1600000115876975
05/03/2025,12:55 PM,NSE_FNO,IO PE NIFTY 27Mar2025 21500,BUY,75.0,46.2,3465.0,1300000113876396
03/03/2025,09:18 AM,NSE_FNO,IO PE NIFTY 27Mar2025 21500,SELL,75.0,67.45,5058.75,1300000002399364
03/03/2025,09:18 AM,NSE_FNO,IO PE NIFTY 24Apr2025 21500,BUY,75.0,140.1,10507.5,1300000002281863
28/02/2025,03:23 PM,NSE_FNO,IO PE NIFTY 24Apr2025 22000,SELL,75.0,286.95,21521.25,1600000147569035
28/02/2025,03:23 PM,NSE_FNO,IO PE NIFTY 27Mar2025 22000,BUY,75.0,206.7,15502.5,1600000147534536
24/02/2025,03:15 PM,NSE_FNO,IO PE NIFTY 27Mar2025 22000,SELL,75.0,113.55,8516.25,1600000126908424
24/02/2025,03:14 PM,NSE_FNO,IO PE NIFTY 24Apr2025 22000,BUY,75.0,182.6,13695.0,1600000126734616
31/01/2025,09:27 AM,NSE_FNO,IO PE NIFTY 27Feb2025 23000,BUY,75.0,272.3,20422.5,1400000005301857
31/01/2025,09:27 AM,NSE_FNO,IO PE NIFTY 27Mar2025 23000,SELL,75.0,342.3,25672.5,1400000005350624
24/01/2025,09:56 AM,NSE_FNO,IO PE NIFTY 27Mar2025 23500,SELL,75.0,622.85,46713.75,1200000035233691
24/01/2025,09:58 AM,NSE_FNO,IO PE NIFTY 27Feb2025 23000,SELL,75.0,351.25,26343.75,1400000035192747
24/01/2025,09:58 AM,NSE_FNO,IO PE NIFTY 27Mar2025 23000,BUY,75.0,420.0,31500.0,1400000034870762
24/01/2025,09:56 AM,NSE_FNO,IO PE NIFTY 27Feb2025 23500,BUY,75.0,565.1,42382.5,1200000034818584
21/01/2025,11:13 AM,NSE_FNO,IO PE NIFTY 27Feb2025 23300,SELL,75.0,482.5,36187.5,1400000091982637
21/01/2025,12:04 PM,NSE_FNO,IO PE NIFTY 27Feb2025 23500,SELL,75.0,472.6,35445.0,1200000134373687
21/01/2025,12:04 PM,NSE_FNO,IO PE NIFTY 27Mar2025 23500,BUY,75.0,527.5,39562.5,1200000134252454
21/01/2025,12:04 PM,NSE_FNO,IO PE NIFTY 27Feb2025 23500,SELL,75.0,466.65,34998.75,1200000133920427
21/01/2025,12:04 PM,NSE_FNO,IO PE NIFTY 27Feb2025 23500,BUY,75.0,468.5,35137.5,1200000133792528
21/01/2025,12:01 PM,NSE_FNO,IO PE NIFTY 27Mar2025 23300,SELL,75.0,450.4,33780.0,1400000131854478
21/01/2025,12:01 PM,NSE_FNO,IO PE NIFTY 27Feb2025 23300,BUY,75.0,391.95,29396.25,1400000131622510
21/01/2025,11:10 AM,NSE_FNO,IO PE NIFTY 27Mar2025 23300,BUY,75.0,536.0,40200.0,1400000081949913
20/01/2025,02:18 PM,NSE_FNO,IO PE NIFTY 27Feb2025 23500,SELL,75.0,457.4,34305.0,1200000176909364
20/01/2025,02:28 PM,NSE_FNO,IO PE NIFTY 27Mar2025 23500,SELL,75.0,520.3,39022.5,1200000180530147
20/01/2025,02:26 PM,NSE_FNO,IO PE NIFTY 27Mar2025 23500,BUY,75.0,521.9,39142.5,1200000179925762
20/01/2025,02:23 PM,NSE_FNO,IO PE NIFTY 27Mar2025 23500,SELL,75.0,518.5,38887.5,1200000178751725
20/01/2025,02:19 PM,NSE_FNO,IO PE NIFTY 27Mar2025 23500,BUY,75.0,519.0,38925.0,1200000177065052
20/01/2025,02:18 PM,NSE_FNO,IO PE NIFTY 27Feb2025 23500,BUY,75.0,458.0,34350.0,1200000176633668
