symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
SGBFEB32IV-GB,IN0020230184,2024-04-02,NSE,EQ,GB,buy,false,1.000000,6661.000000,62156177,1300000004094529,2024-04-02T10:08:29
BAJAJ-AUTO,INE917I01010,2024-04-02,NSE,EQ,EQ,buy,false,1.000000,9185.000000,2073454,1000000011345880,2024-04-02T10:14:11
SGBFEB32IV-GB,IN0020230184,2024-04-05,NSE,EQ,GB,buy,false,1.000000,6761.110000,62063302,1300000010428938,2024-04-05T10:13:56
ARE&M,INE885A01032,2024-05-08,NSE,EQ,EQ,buy,false,1.000000,1140.600000,3555128,1000000023373709,2024-05-08T12:16:44
CYIENT,INE136B01020,2024-05-08,NSE,EQ,EQ,buy,false,1.000000,1784.050000,3561307,1000000023412467,2024-05-08T12:17:12
GSPL,INE246F01010,2024-05-08,NSE,EQ,EQ,buy,false,1.000000,293.800000,24365031,1100000026886957,2024-05-08T12:17:37
GSPL,INE246F01010,2024-05-08,NSE,EQ,EQ,buy,false,2.000000,293.700000,24380187,1100000026983782,2024-05-08T12:18:29
IIFL,INE530B01024,2024-05-08,NSE,EQ,EQ,buy,false,1.000000,389.650000,24402722,1100000027117758,2024-05-08T12:19:52
IIFL,INE530B01024,2024-05-08,NSE,EQ,EQ,buy,false,2.000000,389.650000,24405998,1100000027117758,2024-05-08T12:20:02
MGL,INE002S01010,2024-05-08,NSE,EQ,EQ,buy,false,1.000000,1384.000000,44975761,1200000029976077,2024-05-08T12:22:54
KARURVYSYA,INE036D01028,2024-05-08,NSE,EQ,EQ,buy,false,5.000000,189.900000,44990405,1200000029943927,2024-05-08T12:23:49
CONCOR,INE111A01025,2024-05-08,NSE,EQ,EQ,buy,false,3.000000,1017.000000,7159868,1000000043333091,2024-05-08T15:29:22
IGL,INE203G01027,2024-05-09,BSE,EQ,A,sell,false,4.000000,446.800000,23825100,1715228062969841720,2024-05-09T09:50:11
BIOCON,INE376G01013,2024-05-09,NSE,EQ,EQ,sell,false,2.000000,309.350000,1458068,1000000007683881,2024-05-09T09:55:01
BIOCON,INE376G01013,2024-05-09,NSE,EQ,EQ,sell,false,5.000000,309.350000,1458541,1000000007683881,2024-05-09T09:55:03
OBEROIRLTY,INE093I01010,2024-05-09,NSE,EQ,EQ,buy,false,2.000000,1495.000000,42453419,1200000014176740,2024-05-09T10:25:29
AUROPHARMA,INE406A01037,2024-05-09,NSE,EQ,EQ,buy,false,1.000000,1150.100000,2170693,1000000012924790,2024-05-09T10:26:21
PETRONET,INE347G01014,2024-05-09,NSE,EQ,EQ,buy,false,2.000000,303.800000,42518656,1200000014598157,2024-05-09T10:27:46
SAIL,INE114A01011,2024-05-09,NSE,EQ,EQ,buy,false,4.000000,158.100000,62311811,1300000012906860,2024-05-09T10:27:54
