symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BPCL,INE029A01011,2022-11-03,NSE,EQ,EQ,buy,false,2.000000,306.300000,1275029,1000000007530261,2022-11-03T10:45:59
COALINDIA,INE522F01014,2022-11-03,NSE,EQ,EQ,buy,false,2.000000,245.450000,1289004,1000000007610108,2022-11-03T10:47:20
HDFCBANK,INE040A01034,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,1516.400000,26499553,1100000008201233,2022-11-03T10:47:32
HEROMOTOCO,INE158A01026,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,2645.200000,26500726,1100000008208791,2022-11-03T10:47:39
HINDALCO,INE038A01020,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,414.550000,26503504,1100000008221467,2022-11-03T10:47:51
TCS,INE467B01029,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,3209.850000,76609401,1300000008453880,2022-11-03T10:47:57
TECHM,INE669C01036,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,1060.550000,76625828,1300000008545108,2022-11-03T10:49:38
ULTRACEMCO,INE481G01011,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,6730.300000,76626992,1300000008551062,2022-11-03T10:49:46
WIPRO,INE075A01022,2022-11-03,NSE,EQ,EQ,buy,false,1.000000,392.550000,76628109,1300000008558149,2022-11-03T10:49:53
COALINDIA,INE522F01014,2022-11-21,NSE,EQ,EQ,sell,false,2.000000,228.750000,2757679,1000000017963404,2022-11-21T13:55:34
HINDALCO,INE038A01020,2022-11-21,BSE,EQ,A,sell,false,1.000000,431.800000,6035000,1669007809308883903,2022-11-21T13:55:39
WIPRO,INE075A01022,2022-11-22,NSE,EQ,EQ,buy,false,1.000000,386.150000,75368904,1300000001857864,2022-11-22T09:27:12
BAJAJFINSV,INE918I01026,2022-12-23,NSE,EQ,EQ,buy,false,1.000000,1516.750000,3161395,1000000020116984,2022-12-23T13:05:45
TATAMOTORS,INE155A01022,2023-01-02,NSE,EQ,EQ,buy,false,2.000000,393.900000,76929568,1300000008886625,2023-01-02T11:11:48
BPCL,INE029A01011,2023-01-02,BSE,EQ,A,buy,false,1.000000,333.250000,2490000,1672636896661164807,2023-01-02T11:13:10
ASIANPAINT,INE021A01026,2023-01-16,NSE,EQ,EQ,buy,false,1.000000,2907.300000,1497078,1000000010575214,2023-01-16T11:47:11
DIVISLAB,INE361B01024,2023-01-16,NSE,EQ,EQ,buy,false,1.000000,3329.850000,27039962,1100000012197851,2023-01-16T11:56:38
TITAN,INE280A01028,2023-01-16,NSE,EQ,EQ,buy,false,1.000000,2403.000000,77228365,1300000012606267,2023-01-16T12:08:31
DIVISLAB,INE361B01024,2023-01-16,NSE,EQ,EQ,sell,false,1.000000,3320.550000,27480644,1100000014666444,2023-01-16T12:42:32
TATAMOTORS,INE155A01022,2023-01-16,NSE,EQ,EQ,sell,false,2.000000,411.750000,77519254,1300000014331928,2023-01-16T12:43:27
WIPRO,INE075A01022,2023-01-16,NSE,EQ,EQ,sell,false,1.000000,398.600000,77524684,1300000014368209,2023-01-16T12:44:09
WIPRO,INE075A01022,2023-01-16,NSE,EQ,EQ,sell,false,1.000000,398.600000,77524685,1300000014368209,2023-01-16T12:44:09
INFY,INE009A01021,2023-01-16,NSE,EQ,EQ,buy,false,1.000000,1521.950000,27674826,1100000015877220,2023-01-16T13:04:55
ADANIPORTS,INE742F01042,2023-01-27,NSE,EQ,EQ,buy,false,1.000000,641.850000,3156886,1000000016795601,2023-01-27T11:42:18
